profile_record_id,profile,site_info_id,sample_id,soil_type_id
4724,210_66,1432,,
4725,210_70,1433,,
4726,210c_60,1434,,
4727,210c_63,1435,,884.0
4728,210c_65,1436,,885.0
4729,211_54,1437,,
4755,211_59,1441,,889.0
4768,211_63,1443,,891.0
4769,211_65,1444,,
4770,211_66,1445,,
4771,211_70,1446,,
4772,211c_60,1447,,
4773,211c_62,1448,,
4774,211c_63,1449,,892.0
4775,211c_65,1450,,
4782,212_59,1452,,895.0
4783,212_62,1453,,
4784,212_63,1454,,896.0
4785,212_66,1455,,
4786,212_68,1456,,897.0
4787,212c_63,1457,,898.0
4788,212c_64,1458,,
4789,213_57,1459,,
4790,213_59,1460,,899.0
4791,213_62,1461,,
4805,213_66,1463,,
4806,213_68,1464,,
4807,213c_60,1465,,901.0
4808,213c_62,1466,,
4809,213c_63,1467,,902.0
4810,213c_65,1468,,
4811,214_55,1469,,
4812,214_57,1470,,
4813,214_59,1471,,903.0
4814,214_62,1472,,
4815,214_63,1473,,904.0
4816,214_65,1474,,
4817,214_66,1475,,
4820,214c_60,1477,,
4821,214c_62,1478,,906.0
4822,214c_63,1479,,907.0
4823,214c_64,1480,,908.0
4824,214c_65,1481,,
4838,215_57,1483,,
4839,215_59,1484,,910.0
4840,215_63,1485,,911.0
4841,215_66,1486,,
4842,215c_60,1487,,912.0
4843,215c_62,1488,,913.0
4844,215c_63,1489,,914.0
4845,215c_64,1490,,
4846,215c_65,1491,,
4847,216_46,1492,,
4869,216_59,1496,,918.0
4882,216_62,1498,,
4883,216_63,1499,,920.0
4884,216_65,1500,,
4885,216_66,1501,,
4886,216_70,1502,,
4887,216c_63,1503,,921.0
4894,217_56,1505,,
4904,217_59,1507,,924.0
4905,217_60,1508,,
4922,217_63,1511,,927.0
4923,217_66,1512,,
4924,217c_52,1513,,928.0
4925,217c_60,1514,,929.0
4926,217c_63,1515,,930.0
4957,218_62,1520,,
4958,218_63,1521,,935.0
4959,218_66,1522,,
4960,218_68,1523,,
4965,218c_63,1525,,937.0
4966,218c_65,1526,,938.0
4967,219_54,1527,,
4968,219_57,1528,,
4969,219_59,1529,,939.0
4970,219_60,1530,,
4971,219_62,1531,,
4986,219_64,1533,,
4987,219_66,1534,,
4988,219_68,1535,,941.0
4989,219c_62,1536,,
4990,219c_63,1537,,942.0
4991,21c_63,1538,,943.0
4992,22_54,1539,,
4993,22_59,1540,,944.0
5005,22_63,1542,,946.0
5006,22_65,1543,,
5007,22_66,1544,,
5008,22_69,1545,,
5009,22_70,1546,,
5019,220_55BA,1549,,
